24,11,{}
24,25,{}
24,12,{}
24,21,{}
24,22,{}
24,23,{}
24,28,{}
24,4,{}
24,7,{}
24,6,{}
24,9,{}
24,8,{}
24,10,{}
25,24,{}
25,11,{}
25,12,{}
25,21,{}
25,22,{}
25,10,{}
25,28,{}
25,9,{}
27,24,{}
27,25,{}
27,20,{}
27,21,{}
27,28,{}
27,11,{}
27,9,{}
20,24,{}
20,22,{}
20,17,{}
20,23,{}
20,19,{}
20,28,{}
20,7,{}
20,9,{}
20,21,{}
21,24,{}
21,10,{}
21,27,{}
21,20,{}
21,17,{}
21,22,{}
21,25,{}
21,19,{}
21,28,{}
21,12,{}
21,7,{}
21,11,{}
21,9,{}
21,8,{}
22,11,{}
22,24,{}
22,12,{}
22,20,{}
22,21,{}
22,17,{}
22,25,{}
22,19,{}
22,23,{}
22,28,{}
22,4,{}
22,7,{}
22,6,{}
22,9,{}
22,8,{}
23,24,{}
23,11,{}
23,12,{}
23,25,{}
23,28,{}
23,4,{}
23,7,{}
23,6,{}
23,9,{}
23,8,{}
28,11,{}
28,24,{}
28,27,{}
28,20,{}
28,21,{}
28,22,{}
28,23,{}
28,12,{}
28,25,{}
28,7,{}
29,24,{}
1,23,{}
1,3,{}
1,5,{}
1,4,{}
1,7,{}
1,6,{}
1,9,{}
1,8,{}
3,11,{}
3,23,{}
3,1,{}
3,5,{}
3,4,{}
3,7,{}
3,6,{}
3,8,{}
2,9,{}
2,5,{}
2,7,{}
5,23,{}
5,19,{}
5,4,{}
5,7,{}
5,6,{}
5,8,{}
4,24,{}
4,23,{}
4,1,{}
4,3,{}
4,5,{}
4,7,{}
4,6,{}
4,8,{}
7,24,{}
7,25,{}
7,20,{}
7,21,{}
7,22,{}
7,23,{}
7,19,{}
7,18,{}
7,28,{}
7,1,{}
7,3,{}
7,2,{}
7,5,{}
7,4,{}
7,6,{}
7,9,{}
7,8,{}
7,17,{}
7,10,{}
6,24,{}
6,11,{}
6,12,{}
6,20,{}
6,22,{}
6,23,{}
6,28,{}
6,3,{}
6,4,{}
6,7,{}
6,9,{}
6,8,{}
6,10,{}
9,24,{}
9,25,{}
9,27,{}
9,20,{}
9,21,{}
9,22,{}
9,23,{}
9,19,{}
9,28,{}
9,12,{}
9,7,{}
9,6,{}
9,11,{}
9,8,{}
9,10,{}
8,24,{}
8,11,{}
8,12,{}
8,21,{}
8,22,{}
8,23,{}
8,19,{}
8,28,{}
8,7,{}
8,6,{}
8,9,{}
8,10,{}
11,24,{}
11,25,{}
11,12,{}
11,21,{}
11,22,{}
11,23,{}
11,28,{}
11,7,{}
11,6,{}
11,9,{}
11,10,{}
10,9,{}
10,8,{}
12,24,{}
12,11,{}
12,25,{}
12,7,{}
12,10,{}
17,19,{}
17,18,{}
17,7,{}
19,20,{}
19,17,{}
19,22,{}
19,23,{}
19,18,{}
19,5,{}
19,7,{}
19,6,{}
19,9,{}
19,8,{}
19,21,{}
18,25,{}
18,12,{}
18,17,{}
18,19,{}
18,7,{}
18,8,{}
