Source Target
MDmf 8A
VPL 8A
10 8A
10v 8A
12 8A
47/12 8A
9 8A
46 8A
46v 8A
46d 8A
PS 8A
45 8A
45B 8A
8B 8A
F5 8A
4c 8A
6D 8A
F7 8A
6M 8A
SMAr 8A
1#1 8A
3a 8A
PG#1 8A
Opt 8A
LIP 8A
LIPe 8A
LIPi 8A
VIP 8A
SPL 8A
24 8A
24b 8A
24a 8A
23 8A
23c 8A
23b 8A
23a 8A
Ri#1 8A
A1 8A
Pa#2 8A
paAc 8A
L#1 8A
CL#4 8A
Tpt 8A
AITv 8A
CITd 8A
TEa#3 8A
PIT 8A
TPO 8A
TAa 8A
PGa 8A
IPa 8A
MT 8A
MTp 8A
FST 8A
MST 8A
V3A 8A
V3d 8A
V3v 8A
V4 8A
V4t 8A
PO#4 8A
V2 8A
47/12 8Ad
9 8Ad
46 8Ad
9/46v 8Ad
9/46d 8Ad
45A 8Ad
8B 8Ad
F7 8Ad
PGop 8Ad
Opt 8Ad
LIP 8Ad
MIP 8Ad
31 8Ad
23 8Ad
paAc 8Ad
paAlt 8Ad
ST3 8Ad
Tpt 8Ad
TPO 8Ad
TAa 8Ad
OA 8Ad
LIP 8Ac
ML 8B
Cif 8B
Cdc 8B
IL#2 8B
Pcn 8B
Cl#2 8B
Csl 8B
SG 8B
Li 8B
PM#3 8B
MD 8B
MDdc 8B
MDl 8B
MDpc 8B
MDmf 8B
X 8B
VL 8B
VLm 8B
VA 8B
14 8B
13 8B
32 8B
10 8B
47/12 8B
12l 8B
9 8B
L9 8B
M9 8B
46 8B
46d 8B
PS 8B
9/46d 8B
45 8B
45B 8B
F5 8B
6D 8B
F7 8B
6M 8B
PG#1 8B
Opt 8B
LIP 8B
PGm 8B
31 8B
24 8B
24a 8B
23 8B
30 8B
TF 8B
TH 8B
A2 8B
L#1 8B
AL#4 8B
ST3 8B
Tpt 8B
TPO 8B
OA 8B
Amyg 8B
Pcn 6#1
CM#2 6#1
Cl#2 6#1
Pul#1 6#1
PM#3 6#1
MD 6#1
MDpc 6#1
MDmc 6#1
MDfi 6#1
X 6#1
VPLo 6#1
VLm 6#1
VLc 6#1
VA 6#1
belt_sm 6#1
M1 6#1
M1-FL 6#1
2#1 6#1
S2 6#1
belt_s 6#1
PR#4 6#1
7#1 6#1
IPL 6#1
7a 6#1
7b 6#1
PF#1 6#1
LIP 6#1
VIP 6#1
MIP 6#1
SPL 6#1
PEm 6#1
PEc#1 6#1
PGm 6#1
24 6#1
Insula 6#1
STG 6#1
A2 6#1
Tpt 6#1
CITv 6#1
STS 6#1
STSd 6#1
PO#4 6#1
Amyg 6#1
Bla 6#1
Abpc 6#1
ABmg 6#1
LGN 6V
Pcn 6V
CM#2 6V
Cl#2 6V
Pul#1 6V
Pul.o 6V
MD 6V
X 6V
VPM 6V
VPL 6V
VPLo 6V
VLm 6V
VLo 6V
VLc 6V
VA 6V
VApc 6V
ProM#2 6V
10 6V
12 6V
12o 6V
46 6V
46v 6V
8 6V
8A 6V
6D 6V
F7 6V
6M 6V
F3 6V
F6 6V
M1 6V
M1-FL 6V
1#1 6V
2#1 6V
3a 6V
S2 6V
PFop 6V
PGop 6V
7a 6V
7b 6V
PF#1 6V
LIP 6V
AIP 6V
SPL 6V
PEm 6V
24c 6V
23c 6V
Ri#1 6V
CL#4 6V
Pf#2 F5
Pcn F5
CM#2 F5
Cl#2 F5
PM#3 F5
Pul.o F5
MD F5
VN F5
X F5
VPI F5
VPM F5
VPLo F5
VLm F5
VLo F5
VLc F5
VApc F5
VAmc F5
46 F5
46v F5
PrCO F5
F4 F5
F3 F5
M1 F5
M1-FL F5
MI-of F5
S1 F5
S2 F5
PFop F5
7a F5
7b F5
PF#1 F5
LIP F5
LIPe F5
AIP F5
MIP F5
SPL F5
24c F5
24a F5
PaS F5
CL#4 F5
V6A F5
V6 F5
MD PrCO
MDfi PrCO
VApc PrCO
13a PrCO
F5 PrCO
F4 PrCO
M1 PrCO
M1-FL PrCO
24 PrCO
Insula PrCO
Iam PrCO
Pcn 4c
CM#2 4c
Cl#2 4c
Pul.o 4c
MD 4c
X 4c
VPLo 4c
VLm 4c
VLo 4c
VLc 4c
PS 6Vb
SMAr 6Vb
Iam 6Vb
13a 6Va
PS 6Va
SMAr 6Va
Pcn F4
CM#2 F4
Cl#2 F4
Pul.o F4
MD F4
MDpc F4
X F4
VPI F4
VPM F4
VPL F4
VPLo F4
VLm F4
VLo F4
VLc F4
VApc F4
46v F4
F5 F4
PrCO F4
M1 F4
M1-FL F4
MI-of F4
S1 F4
PC#1 F4
S2 F4
7b F4
PF#1 F4
LIPi F4
VIP F4
AIP F4
MIP F4
SPL F4
CL#4 F4
F5 44
24 6b-beta
Hyp 6D
Tha 6D
Pf#2 6D
Pcn 6D
CM#2 6D
Cl#2 6D
Csl 6D
MD 6D
MDdc 6D
MDpc 6D
MDmf 6D
X 6D
VPL 6D
VPLo 6D
VLm 6D
VLo 6D
VLc 6D
VA 6D
VApc 6D
VAmc 6D
46 6D
46v 6D
45 6D
8A 6D
8B 6D
7a 6D
7b 6D
LIP 6D
VIP 6D
MIP 6D
PEc#1 6D
PGm 6D
CL#4 6D
PO#4 6D
SI#2 6D
Clau 6D
Hyp F7
AD#1 F7
Re F7
Clc F7
Cdc F7
IL#2 F7
Pf#2 F7
Pcn F7
CM#2 F7
Cl#2 F7
Csl F7
SG F7
Li F7
Pul#1 F7
PM#3 F7
Pul.o F7
MD F7
MDdc F7
MDpc F7
MDmf F7
VN F7
X F7
VPL F7
VPLo F7
VLm F7
VLps F7
VLo F7
VLc F7
VA F7
VApc F7
VAmc F7
12 F7
9 F7
46 F7
PS F7
8 F7
FEF F7
45 F7
45B F7
8A F7
8B F7
6V F7
F5 F7
F2 F7
6M F7
F3 F7
SMAr F7
F6 F7
M1 F7
S1 F7
7a F7
7b F7
PFG#1 F7
LIP F7
VIP F7
MIP F7
SPL F7
PEm F7
PEc#1 F7
PGm F7
PECg F7
24c F7
24d F7
24b F7
24a F7
23 F7
23c F7
CL#4 F7
STS F7
OA F7
PO#4 F7
V6A F7
V6 F7
SI#2 F7
Clau F7
LD#1 F2
AV F2
AM#1 F2
AD#1 F2
Re F2
IL#2 F2
Pcn F2
CM#2 F2
Cl#2 F2
Li F2
Ret F2
Pul#1 F2
PM#3 F2
Pul.o F2
MD F2
VN F2
X F2
VPI F2
VPM F2
VPL F2
VPLo F2
VLm F2
VLps F2
VLo F2
VLc F2
VA F2
VApc F2
46 F2
8B F2
6V F2
F5 F2
F4 F2
F7 F2
6M F2
F3 F2
SMAr F2
F6 F2
M1 F2
M1-FL F2
M1-HL F2
S2 F2
PP F2
7a F2
7b F2
LIPe F2
LIPi F2
VIP F2
AIP F2
MIP F2
SPL F2
PEm F2
PEc#1 F2
PGm F2
PECg F2
24c F2
24d F2
24b F2
24a F2
23c F2
CL#4 F2
MST F2
PO#4 F2
V6A F2
MG 6M
Pf#2 6M
Pcn 6M
CM#2 6M
Cl#2 6M
Pul#1 6M
MD 6M
MDdc 6M
MDpc 6M
MDmf 6M
X 6M
VPI 6M
VPM 6M
VPL 6M
VPLo 6M
VLm 6M
VLps 6M
VLo 6M
VLc 6M
VA 6M
VApc 6M
FD#1 6M
12 6M
12o 6M
12l 6M
9 6M
46 6M
45 6M
8A 6M
8B 6M
6V 6M
F5 6M
PrCO 6M
4c 6M
6Vb 6M
6Va 6M
F4 6M
F7 6M
F2 6M
M1 6M
M1-FL 6M
MI-of 6M
M1-HL 6M
PC#1 6M
2#1 6M
S2 6M
7#1 6M
7b 6M
LIP 6M
SPL 6M
PEm 6M
PGm 6M
24 6M
24c 6M
24d 6M
24b 6M
23 6M
23c 6M
Ig#1 6M
Idg 6M
CL#4 6M
Tpt 6M
Re F3
C#4 F3
Clc F3
Cdc F3
IL#2 F3
Pcn F3
CM#2 F3
Cl#2 F3
Csl F3
SG F3
Li F3
PM#3 F3
Pul.o F3
MD F3
MDpc F3
VN F3
X F3
VPL F3
VPLo F3
VLm F3
VLps F3
VLo F3
VLc F3
VA F3
VApc F3
6V F3
F5 F3
F4 F3
F7 F3
F2 F3
F6 F3
M1 F3
M1-FL F3
MI-of F3
M1-HL F3
PC#1 F3
S2 F3
MIP F3
PEm F3
24c F3
24d F3
24b F3
23 F3
Ig#1 F3
Idg F3
V6A F3
V6 F3
46v SMAr
46d SMAr
PS SMAr
46vr SMAr
46dr SMAr
8A SMAr
6Vb SMAr
6Va SMAr
F7 SMAr
F2 SMAr
SMAc SMAr
M1 SMAr
Opt SMAr
MIP SMAr
PEc#1 SMAr
PGm SMAr
31 SMAr
PECg SMAr
24 SMAr
23 SMAr
SMAr SMAc
M1 M2-HL
M1-FL M2-HL
M1-HL M2-HL
24c M2-HL
24b M2-HL
23c M2-HL
M1 M2-FL
M1-FL M2-FL
24c M2-FL
24b M2-FL
23c M2-FL
AM#1 F6
Re F6
IL#2 F6
Pcn F6
CM#2 F6
Cl#2 F6
Csl F6
SG F6
Li F6
PM#3 F6
Pul.o F6
MD F6
VN F6
X F6
VPL F6
VPLo F6
VLm F6
VLps F6
VLo F6
VLc F6
VA F6
VApc F6
VAmc F6
46 F6
46v F6
46d F6
8B F6
F5 F6
F4 F6
F7 F6
F2 F6
F3 F6
PG#1 F6
PFG#1 F6
24c F6
24d F6
24b F6
24a F6
23 F6
23c F6
Ig#1 F6
Idg F6
STS F6
V6A F6
Pf#2 M1
Pcn M1
CM#2 M1
Cl#2 M1
Pul#1 M1
Pul.o M1
MD M1
MDdc M1
MDpc M1
VN M1
X M1
VPI M1
VPM M1
VPL M1
VPLo M1
VPLc M1
VLm M1
VLps M1
VLo M1
VLc M1
VA M1
VApc M1
6#1 M1
6V M1
F5 M1
PrCO M1
6Va M1
F4 M1
F7 M1
F2 M1
6M M1
SMAr M1
PC#1 M1
1#1 M1
2#1 M1
3b M1
3a M1
S2 M1
7b M1
PF#1 M1
MIP M1
SPL M1
PEm M1
24c M1
24b M1
23c M1
Iam M1
STG M1
CL#4 M1
V6A M1
SI#2 M1
LD#1 M1-FL
Pcn M1-FL
CM#2 M1-FL
Cl#2 M1-FL
Csl M1-FL
Li M1-FL
Pul.o M1-FL
MD M1-FL
MDdc M1-FL
X M1-FL
VPM M1-FL
VPL M1-FL
VPLo M1-FL
VPLc M1-FL
VL M1-FL
VLm M1-FL
VLo M1-FL
VLc M1-FL
VAdc M1-FL
6#1 M1-FL
6V M1-FL
F5 M1-FL
PrCO M1-FL
F4 M1-FL
6D M1-FL
F2 M1-FL
6M M1-FL
F3 M1-FL
M2-FL M1-FL
S1 M1-FL
1#1 M1-FL
2#1 M1-FL
3#1 M1-FL
3b M1-FL
3a M1-FL
S2 M1-FL
7#1 M1-FL
PFop M1-FL
PF#1 M1-FL
LIP M1-FL
MIP M1-FL
SPL M1-FL
PEm M1-FL
24 M1-FL
24c M1-FL
24d M1-FL
24b M1-FL
23c M1-FL
13 MI-of
12 MI-of
6#1 MI-of
6V MI-of
F5 MI-of
F4 MI-of
6M MI-of
F3 MI-of
1#1 MI-of
2#1 MI-of
3a MI-of
S2 MI-of
CMA#2 MI-of
7b MI-of
PF#1 MI-of
24c MI-of
24d MI-of
23c MI-of
24 4b
24 4a
Pcn MI-body
CM#2 MI-body
Cl#2 MI-body
PM#3 MI-body
MD MI-body
VPL MI-body
VL MI-body
VAdc MI-body
6#1 MI-body
M1-FL MI-body
M1-HL MI-body
24c MI-body
24b MI-body
23c MI-body
CM#2 M1-HL
Cl#2 M1-HL
MD M1-HL
VL M1-HL
VAdc M1-HL
6#1 M1-HL
6M M1-HL
F3 M1-HL
M2-HL M1-HL
M1-FL M1-HL
S2 M1-HL
24c M1-HL
24d M1-HL
23c M1-HL
Hyp S1
VPL S1
VPLc S1
M1 S1
M1-FL S1
M1-HL S1
S2 S1
7b S1
PF#1 S1
SPL S1
Insula S1
Ig#1 S1
Ri#1 S1
SI#2 S1
CM#2 PC#1
Cl#2 PC#1
Pul.o PC#1
MD PC#1
VPM PC#1
VPL PC#1
VPLc PC#1
VLc PC#1
F4 PC#1
M1 PC#1
CM#2 1#1
VPS 1#1
VPM 1#1
VPL 1#1
VPLc 1#1
belt_sm 1#1
6V 1#1
F5 1#1
M1 1#1
M1-FL 1#1
2#1 1#1
3b 1#1
3a 1#1
S2 1#1
PR#4 1#1
7b 1#1
AIP 1#1
SPL 1#1
Insula 1#1
Ig#1 1#1
Ri#1 1#1
Pul.o 2#1
VPS 2#1
VPL 2#1
VPLc 2#1
belt_sm 2#1
46 2#1
6#1 2#1
6V 2#1
F5 2#1
M1 2#1
M1-FL 2#1
1#1 2#1
3#1 2#1
3b 2#1
3a 2#1
S2 2#1
7a 2#1
7b 2#1
PF#1 2#1
LIP 2#1
MIP 2#1
SPL 2#1
PEm 2#1
Insula 2#1
Ri#1 2#1
Idg 2#1
belt_sm 3#1
ProM#2 3#1
6M 3#1
M1 3#1
M1-FL 3#1
1#1 3#1
2#1 3#1
S2 3#1
belt_s 3#1
PGop 3#1
PEm 3#1
PEc#1 3#1
PECg 3#1
24c 3#1
23c 3#1
Insula 3#1
Ig#1 3#1
IPro 3#1
Idg 3#1
Pul.o 3b
VPM 3b
VPL 3b
VPLc 3b
F5 3b
M1 3b
1#1 3b
2#1 3b
3a 3b
S2 3b
PR#4 3b
CM#2 3a
Cl#2 3a
Pul.o 3a
VPS 3a
VPM 3a
VPL 3a
VPLo 3a
VPLc 3a
6V 3a
F5 3a
M1 3a
1#1 3a
2#1 3a
3b 3a
S2 3a
24c 3a
24b 3a
Iam 3a
Hyp S2
VPM S2
VPLc S2
belt_sm S2
PFCorb S2
ProM#2 S2
Gu S2
46 S2
6#1 S2
6V S2
F5 S2
F4 S2
44 S2
SMAr S2
M1 S2
M1-FL S2
MI-of S2
M1-HL S2
1#1 S2
2#1 S2
3b S2
3a S2
PR#4 S2
PGop S2
7b S2
PF#1 S2
LIP S2
MIP S2
24 S2
24d S2
Insula S2
Ig#1 S2
Ri#1 S2
Idg S2
SI#2 S2
1#1 SII-f
3b SII-f
PR#4 SII-f
7b SII-f
ABmg CMA#2
ProM#2 belt_s
Gu belt_s
13 belt_s
12 belt_s
6#1 belt_s
M1 belt_s
3#1 belt_s
Idg belt_s
Ia#2 belt_s
FEF PR#4
6#1 PR#4
F5 PR#4
1#1 PR#4
3b PR#4
3a PR#4
S2 PR#4
SII-f PR#4
7#1 PR#4
7b PR#4
SPL PR#4
Hyp 7#1
PL#3 7#1
46v 7#1
4c 7#1
6Va 7#1
6D 7#1
M1 7#1
1#1 7#1
2#1 7#1
3a 7#1
VIP 7#1
MIP 7#1
SPL 7#1
24d 7#1
24b 7#1
24a 7#1
23 7#1
Ig#1 7#1
Ri#1 7#1
Idg 7#1
CL#4 7#1
TPOc 7#1
TPOi 7#1
TPOr 7#1
MT 7#1
MSTd 7#1
SI#2 7#1
6V PFop
F5 PFop
M1-FL PFop
PF#1 PFop
PIT PP
46 PGop
F5 PGop
MIP PGop
PEm PGop
PEc#1 PGop
46 IPL
46v IPL
45 IPL
8Ac IPL
4c IPL
6Va IPL
6D IPL
6M IPL
M1 IPL
S2 IPL
VIP IPL
MIP IPL
PGm IPL
24d IPL
24b IPL
24a IPL
23 IPL
29 IPL
30 IPL
20 IPL
AITd IPL
TPOc IPL
TPOr IPL
TAa IPL
PGa IPL
OAa IPL
FST IPL
V4v IPL
12 7a
46 7a
FEF 7a
45 7a
45A 7a
45B 7a
8A 7a
8Ac 7a
8B 7a
6#1 7a
6D 7a
7b 7a
LIP 7a
VIP 7a
MIP 7a
PGm 7a
24 7a
TF 7a
TH 7a
AITd 7a
STS 7a
FST 7a
MSTd 7a
PO#4 7a
V6A 7a
V6 7a
DP 7a
Hyp PG#1
AM#1 PG#1
LGN PG#1
Pf#2 PG#1
CM#2 PG#1
Cl#2 PG#1
SG PG#1
Li PG#1
Pul#1 PG#1
PIm PG#1
PIc PG#1
PM#3 PG#1
PMm PG#1
PMl PG#1
PL#3 PG#1
PLd PG#1
MDdc PG#1
MDpc PG#1
VPL PG#1
VLps PG#1
VLc PG#1
VA PG#1
46 PG#1
PS PG#1
F5 PG#1
PEm PG#1
PEc#1 PG#1
24 PG#1
23 PG#1
26 PG#1
TPPro PG#1
TEa#3 PG#1
TEm PG#1
STS PG#1
TPO PG#1
TPOc PG#1
TPOr PG#1
PGa PG#1
IPa PG#1
OAa PG#1
MT PG#1
FST PG#1
MST PG#1
OA PG#1
V3 PG#1
V4 PG#1
V4d PG#1
PO#4 PG#1
DP PG#1
V2 PG#1
SI#2 PG#1
LD#1 Opt
AV Opt
AM#1 Opt
Pf#2 Opt
Pcn Opt
Cl#2 Opt
Csl Opt
PM#3 Opt
MDmf Opt
VPL Opt
VPLc Opt
VLps Opt
VLc Opt
46 Opt
SMAr Opt
Tpt Opt
STS Opt
TPOc Opt
TPOr Opt
PGa Opt
MI#1 7b
ProM#2 7b
12 7b
11 7b
46 7b
45 7b
6#1 7b
6V 7b
PrCO 7b
4c 7b
6Vb 7b
6Va 7b
6D 7b
6M 7b
S1 7b
1#1 7b
2#1 7b
S2 7b
PR#4 7b
PGop 7b
7a 7b
LIP 7b
LIPe 7b
LIPi 7b
VIP 7b
SPL 7b
PGm 7b
PECg 7b
24c 7b
24b 7b
24a 7b
23 7b
23c 7b
Ig#1 7b
Ri#1 7b
Idg 7b
Ia#2 7b
TG 7b
STG 7b
CL#4 7b
21 7b
AITd 7b
TEa#3 7b
TPO 7b
TPOc 7b
TPOi 7b
TPOr 7b
IPa 7b
MTp 7b
MST 7b
Pcn PFG#1
Cl#2 PFG#1
Csl PFG#1
PM#3 PFG#1
Pul.o PFG#1
PL#3 PFG#1
MDpc PFG#1
MDmf PFG#1
VPL PFG#1
VPLc PFG#1
F5 PFG#1
PF#1 PFG#1
Pcn PF#1
CM#2 PF#1
Cl#2 PF#1
PM#3 PF#1
Pul.o PF#1
PL#3 PF#1
MDpc PF#1
MDmf PF#1
VPI PF#1
VPM PF#1
VPL PF#1
VPLc PF#1
VLc PF#1
belt_sm PF#1
6V PF#1
F5 PF#1
F4 PF#1
M1 PF#1
M1-FL PF#1
MI-of PF#1
S1 PF#1
1#1 PF#1
2#1 PF#1
S2 PF#1
Insula PF#1
Ig#1 PF#1
Idg PF#1
Ia#2 PF#1
Clau PF#1
LD#1 LIP
Pf#2 LIP
Cl#2 LIP
Csl LIP
PM#3 LIP
PL#3 LIP
MDpc LIP
X LIP
VPL LIP
VPLc LIP
VLps LIP
12 LIP
11 LIP
9 LIP
46 LIP
FEF LIP
45 LIP
45A LIP
45B LIP
8Ac LIP
8B LIP
6#1 LIP
6V LIP
F5 LIP
6D LIP
F7 LIP
6M LIP
7a LIP
7b LIP
PF#1 LIP
VIP LIP
PIP#1 LIP
AIP LIP
MIP LIP
PGm LIP
24 LIP
23 LIP
26 LIP
Ig#1 LIP
Idg LIP
TF LIP
PrS LIP
TE LIP
20 LIP
21 LIP
STS LIP
TPO LIP
PGa LIP
IPa LIP
OAa LIP
MT LIP
MTp LIP
FST LIP
MST LIP
MSTd LIP
OA LIP
V3A LIP
V3 LIP
V3d LIP
V3v LIP
V4 LIP
V4t LIP
V4d LIP
PO#4 LIP
V6A LIP
V6 LIP
DP LIP
V2 LIP
PS LIPe
CITv LIPe
PIT LIPe
OA LIPe
PS LIPi
CITv LIPi
PIT LIPi
OA LIPi
V3v LIPi
V2 LIPi
belt_sm VIP
FEF VIP
7#1 VIP
IPL VIP
LIP VIP
PIT VIP
PGa VIP
OAa VIP
MT VIP
FST VIP
MSTp VIP
MSTd VIP
V3A VIP
V3 VIP
V3v VIP
V6A VIP
V6 VIP
V2 VIP
LIP PIP#1
MT PIP#1
V3 PIP#1
V3v PIP#1
V4 PIP#1
DP PIP#1
V1 PIP#1
V2 PIP#1
F5 AIP
F4 AIP
2#1 AIP
LIP AIP
MIP AIP
V6A AIP
CM#2 MIP
Cl#2 MIP
Pul.o MIP
PL#3 MIP
MDpc MIP
VPL MIP
VPLc MIP
VLps MIP
F5 MIP
SMAr MIP
M1-FL MIP
7#1 MIP
LIP MIP
PEm MIP
PEc#1 MIP
V3A MIP
V6A MIP
V6 MIP
Hyp SPL
PAa SPL
Cl#2 SPL
Pul.o SPL
PL#3 SPL
VPS SPL
VPL SPL
VPLc SPL
VLps SPL
6M SPL
M1 SPL
M1-HL SPL
S1 SPL
1#1 SPL
2#1 SPL
3b SPL
3a SPL
S2 SPL
PR#4 SPL
7b SPL
PF#1 SPL
Ig#1 SPL
Ri#1 SPL
Idg SPL
TF SPL
SI#2 SPL
Clau SPL
CM#2 PEm
Cl#2 PEm
Li PEm
Pul.o PEm
PL#3 PEm
MDdc PEm
VPL PEm
VPLo PEm
VPLc PEm
VLps PEm
VLc PEm
6V PEm
M1-FL PEm
7#1 PEm
PEc#1 PEm
PGm PEm
Pul.o 5_Foot
VPL 5_Foot
CM#2 PEc#1
Cl#2 PEc#1
Pul.o PEc#1
PL#3 PEc#1
MDmf PEc#1
VPL PEc#1
VPLc PEc#1
VLps PEc#1
F5 PEc#1
F7 PEc#1
F2 PEc#1
F3 PEc#1
SMAr PEc#1
F6 PEc#1
7#1 PEc#1
7a PEc#1
PFG#1 PEc#1
VIP PEc#1
AIP PEc#1
MIP PEc#1
PEm PEc#1
PGm PEc#1
PECg PEc#1
23c PEc#1
MST PEc#1
V6A PEc#1
V6 PEc#1
AV PGm
AM#1 PGm
Re PGm
Pcn PGm
Cl#2 PGm
Csl PGm
MI#1 PGm
PM#3 PGm
Pul.o PGm
PL#3 PGm
MDdc PGm
MDpc PGm
VPL PGm
VLps PGm
VLc PGm
9 PGm
46 PGm
PS PGm
FEF PGm
45 PGm
8B PGm
6D PGm
F7 PGm
6M PGm
SMAr PGm
7#1 PGm
IPL PGm
7a PGm
LIP PGm
PEm PGm
PEc#1 PGm
PECg PGm
24 PGm
23 PGm
23c PGm
26 PGm
Ig#1 PGm
Idg PGm
Ia#2 PGm
TF PGm
PrS PGm
STG PGm
TPOc PGm
TPOr PGm
MTp PGm
MST PGm
PO#4 PGm
V6A PGm
V6 PGm
V2 PGm
13 31
10 31
11 31
9 31
46 31
PS 31
9/46d 31
8Ad 31
8B 31
F7 31
F2 31
6M 31
SMAr 31
F6 31
M1 31
1#1 31
2#1 31
3#1 31
PGop 31
PG#1 31
Opt 31
MIP 31
PEc#1 31
PGm 31
PECg 31
24 31
24c 31
24a 31
23 31
23c 31
23b 31
TSA 31
23a 31
29 31
30 31
TF 31
36 31
TH 31
paAc 31
Tpt 31
TPO 31
MST 31
V3 31
9 PECg
46 PECg
8Ad PECg
8B PECg
44 PECg
F7 PECg
F2 PECg
6M PECg
SMAr PECg
M1 PECg
1#1 PECg
2#1 PECg
3#1 PECg
3b PECg
3a PECg
S2 PECg
7#1 PECg
PGop PECg
IPL PECg
PG#1 PECg
7b PECg
PFG#1 PECg
MIP PECg
PEm PECg
PEc#1 PECg
PGm PECg
31 PECg
24c PECg
24b PECg
23c PECg
23b PECg
TSA PECg
Ig#1 PECg
Idg PECg
paAc PECg
Tpt PECg
TPO PECg
MST PECg
V6A PECg
Hyp 24
AM#1 24
Re 24
PAa 24
Clc 24
Cdc 24
Pf#2 24
Csl 24
Li 24
Ret 24
Pul#1 24
PM#3 24
MD 24
MDdc 24
MDcd 24
MDpc 24
MDfi 24
14 24
OFap 24
OFO 24
13 24
32 24
10 24
12 24
12o 24
11 24
9 24
46 24
46v 24
PS 24
45 24
8A 24
8B 24
6#1 24
6V 24
PrCO 24
6b-beta 24
F7 24
F2 24
6M 24
SMAr 24
M1-FL 24
4b 24
4a 24
S2 24
7#1 24
IPL 24
7b 24
LIP 24
PEm 24
PGm 24
23 24
23c 24
23b 24
23a 24
29 24
Insula 24
Ig#1 24
Ia#2 24
TF 24
35 24
36 24
TG 24
TPPro 24
ENT 24
S#1 24
Pros. 24
TH 24
CA1 24
STPg 24
A2 24
ST3 24
TE 24
20 24
STS 24
TPO 24
Amyg 24
B#2 24
Bla 24
MB 24
L#2 24
SI#2 24
Clau 24
14 24c
13 24c
13a 24c
32 24c
FD#1 24c
10 24c
12 24c
12o 24c
12l 24c
11 24c
9 24c
46 24c
45 24c
8A 24c
8B 24c
6V 24c
F5 24c
PrCO 24c
4c 24c
6Vb 24c
6Va 24c
F7 24c
F2 24c
6M 24c
M1 24c
7#1 24c
IPL 24c
7b 24c
PEm 24c
PGm 24c
23c 24c
TG 24c
PaS 24c
TH 24c
ProSt 24c
VLo 24d
VApc 24d
46 24d
8A 24d
F5 24d
F4 24d
F7 24d
F2 24d
6M 24d
F6 24d
VApc 24b
14r 24b
13a 24b
FD#1 24b
10o 24b
12 24b
11m 24b
9 24b
46 24b
8A 24b
6V 24b
F5 24b
M1-FL 24b
M1-HL 24b
7#1 24b
PEm 24b
PGm 24b
24c 24b
23c 24b
Iam 24b
Iai 24b
36 24b
TG 24b
TH 24b
14r 24a
13a 24a
FD#1 24a
10o 24a
12 24a
11m 24a
9 24a
46 24a
8A 24a
6V 24a
F5 24a
7b 24a
PGm 24a
24c 24a
23c 24a
Iai 24a
36 24a
TG 24a
TH 24a
14 23
32 23
10 23
11 23
9 23
46 23
PS 23
9/46d 23
8Ad 23
8B 23
SMAr 23
7#1 23
IPL 23
PG#1 23
Opt 23
LIP 23
PEm 23
PGm 23
31 23
24 23
24a 23
Insula 23
Idg 23
TF 23
36 23
TH 23
paAlt 23
ST3 23
Tpt 23
TPO 23
OA 23
V3 23
V2 23
VLo 23c
VApc 23c
14 23c
13 23c
32 23c
FD#1 23c
10 23c
12 23c
12o 23c
11 23c
9 23c
46 23c
8A 23c
8Ad 23c
8B 23c
F5 23c
4c 23c
F7 23c
F2 23c
6M 23c
F6 23c
M1 23c
1#1 23c
2#1 23c
3#1 23c
3b 23c
3a 23c
S2 23c
PGop 23c
PG#1 23c
Opt 23c
7b 23c
PFG#1 23c
VIP 23c
MIP 23c
PEm 23c
PEc#1 23c
PGm 23c
31 23c
PECg 23c
24 23c
24c 23c
24b 23c
24a 23c
23b 23c
TSA 23c
23a 23c
29 23c
30 23c
25 23c
Ig#1 23c
Idg 23c
TF 23c
36 23c
TH 23c
paAc 23c
Tpt 23c
TPO 23c
MST 23c
V3 23c
14 23b
13 23b
FD#1 23b
9 23b
46 23b
8 23b
8A 23b
Opt 23b
24 23b
24c 23b
24b 23b
24a 23b
23c 23b
23a 23b
TF 23b
36 23b
TH 23b
20 23b
TPO 23b
OA 23b
46 TSA
8Ad TSA
F7 TSA
F2 TSA
6M TSA
M1 TSA
3b TSA
3a TSA
S2 TSA
PG#1 TSA
PEm TSA
PEc#1 TSA
PGm TSA
31 TSA
PECg TSA
24c TSA
23c TSA
23b TSA
Ri#1 TSA
Tpt TSA
TPO TSA
MST TSA
FD#1 23a
9 23a
46 23a
8A 23a
24 23a
24c 23a
36 23a
TH 23a
LIP 26
PGm 26
PS 29
24 29
PS CML
9 29d
9/46d 29d
9 29a-c
46 29a-c
9/46d 29a-c
24 29a-c
9 30
PS 30
9/46d 30
Hyp 25
MD 25
MDmc 25
14 25
14r 25
13 25
13a 25
32 25
12o 25
11 25
9 25
PS 25
24c 25
24b 25
23b 25
29a-c 25
Iam 25
Iai 25
TF 25
35 25
36 25
TG 25
TPproD 25
ENT 25
S#1 25
Pros. 25
PaS 25
TH 25
PrS 25
CA1 25
A1 25
STPg 25
A2 25
ST3 25
ST2 25
ST1 25
TE 25
STS 25
Amyg 25
B#2 25
Bla 25
MB 25
PAC#1 25
L#2 25
SI#2 25
Hyp Insula
Re Insula
MG Insula
Pf#2 Insula
Pcn Insula
SG Insula
Li Insula
PM#3 Insula
MDpc Insula
VPI Insula
VPM Insula
VAmc Insula
L#2 Insula
SI#2 Insula
Hyp Ig#1
