Source Target
M1-FL X
PFG#1 X
M1-FL VP#2
1#1 VPS
2#1 VPS
SPL VPS
M1 VPI
S2 VPI
PFG#1 VPI
Insula VPI
M1 VPM
3b VPM
PFG#1 VPM
Insula VPM
6D VPL
F3 VPL
M1 VPL
M1-FL VPL
MI-body VPL
M1-HL VPL
1#1 VPL
2#1 VPL
7#1 VPL
IPL VPL
PFG#1 VPL
SPL VPL
PEm VPL
5_Foot VPL
PEc#1 VPL
PGm VPL
PECg VPL
23 VPL
TH VPL
V3v VPL
V4 VPL
V6 VPL
DP VPL
V2 VPL
8 VPLo
F3 VPLo
M1 VPLo
M1-FL VPLo
3b VPLo
F3 VPLc
M1 VPLc
M1-FL VPLc
1#1 VPLc
2#1 VPLc
3b VPLc
3a VPLc
S2 VPLc
IPL VPLc
PEm VPLc
PEc#1 VPLc
Ret VL
M1-FL VL
MI-body VL
M1-HL VL
7#1 VL
PEc#1 VL
PGm VL
24 VL
13 VLm
9 VLm
46 VLm
6D VLm
F2 VLm
F3 VLm
M1 VLm
PFG#1 VLm
6D VLps
F3 VLps
M1 VLps
7#1 VLps
PGm VLps
V4d VLps
12o VLo
12l VLo
9 VLo
8 VLo
FEF VLo
F5 VLo
PrCO VLo
F4 VLo
6D VLo
F2 VLo
6M VLo
F3 VLo
F6 VLo
M1 VLo
M1-FL VLo
PFG#1 VLo
24d VLo
24b VLo
23c VLo
46 VLc
FEF VLc
6D VLc
F7 VLc
F2 VLc
F3 VLc
M1 VLc
M1-FL VLc
IPL VLc
PFG#1 VLc
PEm VLc
PECg VLc
23 VLc
12m VA
9 VA
46 VA
FEF VA
6D VA
F2 VA
F3 VA
24 VA
Ret VApc
6D VApc
F7 VApc
Ret VAdc
M1-FL VAdc
MI-body VAdc
M1-HL VAdc
Ret VAmc
14 VAmc
13a VAmc
32 VAmc
12o VAmc
12l VAmc
9 VAmc
46 VAmc
8 VAmc
FEF VAmc
F5 VAmc
F7 VAmc
F6 VAmc
24 VAmc
24c VAmc
24d VAmc
24b VAmc
24a VAmc
ProM#2 belt_sm
Gu belt_sm
13 belt_sm
12 belt_sm
6#1 belt_sm
M1 belt_sm
1#1 belt_sm
2#1 belt_sm
3#1 belt_sm
S2 belt_sm
7b belt_sm
Idg belt_sm
Ia#2 belt_sm
S2 PFCorb
Insula PFCorb
AN 14
AM#1 14
ML 14
Re 14
PT#2 14
PAa 14
Clc 14
Cim 14
Cif 14
Cdc 14
IL#2 14
Pf#2 14
Pcn 14
Csl 14
Cs#2 14
Li 14
PM#3 14
MD 14
MDdc 14
MDcd 14
MDpc 14
MDmc 14
MDpm 14
X 14
VL 14
VLm 14
VA 14
VAmc 14
OFap 14
13 14
32 14
10 14
12 14
12o 14
12l 14
11 14
9 14
M9 14
D9 14
46 14
46v 14
46d 14
8 14
24 14
29a-c 14
25 14
Pi#1 14
Idg 14
Ia#2 14
35 14
36 14
TG 14
TPproD 14
ENT 14
S#1 14
Pros. 14
PrS 14
CA1 14
A1 14
ST3 14
ST2 14
ST1 14
TE 14
STS 14
Amyg 14
B#2 14
Bla 14
Abpc 14
Bi 14
MB 14
ABvm 14
ABmg 14
AHA 14
L#2 14
OFC 14
13 14O
32 14O
10 14O
12o 14O
AM#1 14r
AD#1 14r
VApc 14r
VAmc 14r
13a 14r
32 14r
10m 14r
10o 14r
12o 14r
12m 14r
12r 14r
12l 14r
11l 14r
11m 14r
9 14r
46 14r
45 14r
24b 14r
24a 14r
25 14r
Ial 14r
Iam 14r
Iapm 14r
Iai 14r
TF 14r
TPag 14r
TPg 14r
TPdgd 14r
EI 14r
ER#1 14r
ECL 14r
EC#2 14r
S#1 14r
Su#2 14r
Sb 14r
TH 14r
CA3 14r
TA 14r
Abpc 14r
Bi 14r
ABmg 14r
L#2 14r
24 OFap
Insula OFap
24 OFO
belt_sm ProM#2
Gu ProM#2
13 ProM#2
12 ProM#2
46 ProM#2
46v ProM#2
6#1 ProM#2
6V ProM#2
F5 ProM#2
44 ProM#2
6M ProM#2
1#1 ProM#2
2#1 ProM#2
3#1 ProM#2
S2 ProM#2
belt_s ProM#2
7b ProM#2
24d ProM#2
23 ProM#2
Ig#1 ProM#2
IPro ProM#2
Idg ProM#2
Ia#2 ProM#2
MD Gu
VPM Gu
belt_sm Gu
13L Gu
F5 Gu
belt_s Gu
PF#1 Gu
Ial Gu
Iam Gu
L#2 Gu
Hyp 13
AM#1 13
Re 13
PT#2 13
Clc 13
Cdc 13
Pf#2 13
Pcn 13
CM#2 13
Li 13
Pul#1 13
PM#3 13
MD 13
MDmc 13
MDpm 13
MDfi 13
VA 13
VAmc 13
Gu 13
32 13
12o 13
46 13
46v 13
PrCO 13
6Vb 13
S1 13
24 13
29a-c 13
Idg 13
Ia#2 13
Ial 13
Iapm 13
Iai 13
35 13
36 13
TG 13
TPag 13
TPg 13
